Line,Infrastructure,Time
Green,Station:PIONEER,2.3
Green,Station:EDGEBROOK,2.3
Green,Station:D,2.4
Green,Station:WHITED,2.7
Green,Station:SOUTH BANK,2.6
Green,Station:CENTRAL:UNDERGROUND,1.9
Green,Station:INGLEWOOD:UNDERGROUND,2
Green,Station:OVERBROOK:UNDERGROUND,2
Green,Station:GLENBURY,2.2
Green,Station:DORMONT,2.5
Green,Station:MT LEBANON,2.2
Green,Station:POPLAR,4.4
Green,Station:CASTLE SHANNON,2.2
Green,Station:DORMONT,2.3
Green,Station:GLENBURY,2.4
Green,Station:OVERBROOK:UNDERGROUND,2.1
Green,Station:INGLEWOOD:UNDERGROUND,2
Green,Station:CENTRAL:UNDERGROUND,2
